stop_id,stop_code,stop_name,stop_desc,stop_lon,stop_lat,zone_id,stop_url,location_type,parent_station,stop_timezone,level_id,wheelchair_boarding,platform_code,stop_access
IDFM:463218,,Louvre - Rivoli,,2.3402029549053185,48.86113679284923,1,,0,IDFM:73630,Europe/Paris,,2,,
IDFM:463219,,Mairie d'Issy,,2.273640262967315,48.82431780479707,2,,0,IDFM:70671,Europe/Paris,,2,,
IDFM:463220,,Mairie d'Ivry,,2.383498053635828,48.811210093393306,3,,0,IDFM:70488,Europe/Paris,,2,,
IDFM:463221,,Mairie de Montreuil,,2.4414920644998293,48.86229089668202,2,,0,IDFM:71785,Europe/Paris,,2,,
IDFM:463222,,Mairie de Montrouge,,2.3196193991237846,48.818454456190004,2,,0,IDFM:70586,Europe/Paris,,2,,
IDFM:463223,,Mairie des Lilas,,2.4163499077398614,48.879658467973904,2,,0,IDFM:71909,Europe/Paris,,2,,
IDFM:463224,,Maison Blanche,,2.3584964076718387,48.82228486058752,1,,0,IDFM:70645,Europe/Paris,,2,,
IDFM:463225,,Maisons-Alfort - Stade,,2.434924424365985,48.80897743416717,3,,0,IDFM:70426,Europe/Paris,,2,,
IDFM:463226,,Michel Bizot,,2.402366739988004,48.83707743103578,1,,0,IDFM:71595,Europe/Paris,,2,,
IDFM:463227,,Palais Royal - Musée du Louvre,,2.335302691573903,48.862746489820665,1,,0,IDFM:71297,Europe/Paris,,2,,
IDFM:463228,,Pereire,,2.297701123838181,48.884929864637186,1,,0,IDFM:71453,Europe/Paris,,2,,
IDFM:463229,,Pernety,,2.3179465189168287,48.83389625601307,1,,0,IDFM:412687,Europe/Paris,,2,,
IDFM:463230,,Philippe Auguste,,2.390589328433105,48.858112378986284,1,,0,IDFM:71751,Europe/Paris,,2,,
IDFM:463231,,Pont Marie (Cité des Arts),,2.3572936834097766,48.85355834356242,1,,0,IDFM:71217,Europe/Paris,,2,,
IDFM:463232,,Pont Neuf,,2.341776749148542,48.85854633926832,1,,0,IDFM:71253,Europe/Paris,,2,,
IDFM:463233,,Pont de Sèvres,,2.2305052170885546,48.82966919074605,2,,0,IDFM:70698,Europe/Paris,,2,,
IDFM:463234,,Porte d'Auteuil,,2.2585392543348863,48.84793270703102,1,,0,IDFM:71169,Europe/Paris,,2,,
IDFM:463235,,Porte d'Italie,,2.3595297331071694,48.81910659655869,1,,0,IDFM:70596,Europe/Paris,,2,,
