trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,shape_dist_traveled
92275695356,07:56:30,07:56:30,30287,39,Kimball,0,96717
92275695356,07:58:00,07:58:00,30018,40,Kimball,0,99088
92275695356,07:59:30,07:59:30,30283,41,Kimball,0,101773
92275695356,08:01:00,08:01:00,30195,42,Kimball,0,103298
92275695356,08:02:30,08:02:30,30167,43,Kimball,0,105352
92275695356,08:04:30,08:04:30,30225,44,Kimball,0,107306
92275695356,08:06:00,08:06:00,30249,45,Kimball,0,109098
92275547190,04:15:00,04:15:00,30181,1,Loop,0,0
92275547190,04:17:30,04:17:30,30185,2,Loop,0,6924
92275547190,04:20:00,04:20:00,30219,3,Loop,0,12801
92275547190,04:22:00,04:22:00,30060,4,Loop,0,18325
92275547190,04:26:30,04:26:30,30022,5,Loop,0,29385
92275547190,04:29:00,04:29:00,30205,6,Loop,0,34873
92275547190,04:31:00,04:31:00,30215,7,Loop,0,40317
92275547190,04:36:30,04:36:30,30080,8,Loop,0,51245
92275547190,04:40:00,04:40:00,30166,9,Midway,0,55376
92275547190,04:40:30,04:40:30,30031,10,Midway,0,56336
92275547190,04:42:00,04:42:00,30007,11,Midway,0,57514
92275547190,04:43:30,04:43:30,30141,12,Midway,0,58962
92275547190,04:46:00,04:46:00,30074,13,Midway,0,60890
92275547190,04:48:30,04:48:30,30384,14,Midway,0,63038
92275547190,04:49:30,04:49:30,30132,15,Midway,0,64391
92275547190,04:53:00,04:53:00,30081,16,Midway,0,68857
92275547190,04:57:30,04:57:30,30216,17,Midway,0,79785
92275547190,04:59:30,04:59:30,30206,18,Midway,0,85229
92275547190,05:01:30,05:01:30,30023,19,Midway,0,90717
92275547190,05:06:00,05:06:00,30061,20,Midway,0,101777
92275547190,05:08:00,05:08:00,30220,21,Midway,0,107301
92275547190,05:10:30,05:10:30,30186,22,Midway,0,113178
92275547190,05:13:00,05:13:00,30182,23,Midway,0,120102
92275698970,03:05:00,03:05:00,30088,1,Howard,0,0
92275698970,03:07:00,03:07:00,30275,2,Howard,0,4736
92275698970,03:09:30,03:09:30,30046,3,Howard,0,10218
92275698970,03:12:00,03:12:00,30191,4,Howard,0,16763
92275698970,03:14:00,03:14:00,30177,5,Howard,0,21612
92275698970,03:16:30,03:16:30,30223,6,Howard,0,27038
92275698970,03:18:30,03:18:30,30237,7,Howard,0,32515
92275698970,03:21:30,03:21:30,30036,8,Howard,0,40155
92275698970,03:25:00,03:25:00,30193,9,Howard,0,48198
92275698970,03:28:30,03:28:30,30269,10,Howard,0,53754
92275698970,03:29:00,03:29:00,30285,11,Howard,0,56185
92275698970,03:30:00,03:30:00,30109,12,Howard,0,57684
92275698970,03:30:30,03:30:30,30211,13,Howard,0,58629
92275698970,03:33:00,03:33:00,30289,14,Howard,0,60110
92275698970,03:34:30,03:34:30,30064,15,Howard,0,62610
92275698970,03:36:00,03:36:00,30279,16,Howard,0,64434
92275698970,03:38:30,03:38:30,30121,17,Howard,0,67804
92275698970,03:41:30,03:41:30,30125,18,Howard,0,73633
92275698970,03:44:30,03:44:30,30233,19,Howard,0,79260
92275698970,03:48:30,03:48:30,30255,20,Howard,0,84617
92275698970,03:50:00,03:50:00,30273,21,Howard,0,87420
92275698970,03:52:00,03:52:00,30016,22,Howard,0,90002
92275698970,03:55:00,03:55:00,30105,23,Howard,0,94257
92275698970,03:56:00,03:56:00,30149,24,Howard,0,96058
92275698970,03:57:00,03:57:00,30229,25,Howard,0,97631
92275698970,03:58:30,03:58:30,30066,26,Howard,0,99283
92275698970,04:00:00,04:00:00,30267,27,Howard,0,101295
92275698970,04:01:30,04:01:30,30169,28,Howard,0,103758
92275698970,04:02:30,04:02:30,30147,29,Howard,0,104999
92275698970,04:04:30,04:04:30,30251,30,Howard,0,107830
92275698970,04:06:30,04:06:30,30020,31,Howard,0,110960
92275698970,04:08:00,04:08:00,30227,32,Howard,0,113961
92275698970,04:09:00,04:09:00,30173,33,Howard,0,115516
92275703297,05:00:00,05:00:00,30113,1,Loop,0,0
92275703297,05:02:00,05:02:00,30082,2,Loop,0,3093
92275703297,05:04:00,05:04:00,30117,3,Loop,0,6631
92275703297,05:05:30,05:05:30,30028,4,Loop,0,9067
92275703297,05:07:00,05:07:00,30151,5,Loop,0,11640
92275703297,05:08:00,05:08:00,30201,6,Loop,0,14215
92275703297,05:09:30,05:09:30,30086,7,Loop,0,17104
92275703297,05:11:00,05:11:00,30143,8,Loop,0,19732
92275703297,05:12:00,05:12:00,30040,9,Loop,0,22241
92275703297,05:14:30,05:14:30,30161,10,Loop,0,25211
92275703297,05:16:30,05:16:30,30199,11,Loop,0,30187
92275703297,05:20:00,05:20:00,30032,12,Loop,0,35963
92275703297,05:22:00,05:22:00,30295,13,Loop,0,40001
92275703297,05:23:30,05:23:30,30221,14,Loop,0,42823
92275703297,05:26:00,05:26:00,30074,15,54th/Cermak,0,45787
92275703297,05:28:30,05:28:30,30384,16,54th/Cermak,0,47935
92275703297,05:29:30,05:29:30,30132,17,54th/Cermak,0,49288
92275703297,05:31:30,05:31:30,30166,18,54th/Cermak,0,50809
92275703297,05:32:00,05:32:00,30031,19,54th/Cermak,0,51769
92275703297,05:33:30,05:33:30,30007,20,54th/Cermak,0,52947
92275703297,05:35:00,05:35:00,30141,21,54th/Cermak,0,54395
92275703297,05:38:00,05:38:00,30222,22,54th/Cermak,0,57639
92275703297,05:39:00,05:39:00,30296,23,54th/Cermak,0,60461
92275703297,05:41:30,05:41:30,30033,24,54th/Cermak,0,64499
92275703297,05:44:30,05:44:30,30200,25,54th/Cermak,0,70275
92275703297,05:46:30,05:46:30,30162,26,54th/Cermak,0,75251
92275703297,05:49:00,05:49:00,30041,27,54th/Cermak,0,78221
92275703297,05:50:00,05:50:00,30144,28,54th/Cermak,0,80730
92275703297,05:51:30,05:51:30,30087,29,54th/Cermak,0,83358
92275703297,05:53:00,05:53:00,30202,30,54th/Cermak,0,86247
92275703297,05:54:30,05:54:30,30152,31,54th/Cermak,0,88822
92275703297,05:55:30,05:55:30,30029,32,54th/Cermak,0,91395
92275703297,05:57:30,05:57:30,30118,33,54th/Cermak,0,93831
92275703297,06:00:00,06:00:00,30083,34,54th/Cermak,0,97369
92275703297,06:02:00,06:02:00,30114,35,54th/Cermak,0,100462
92281366027,07:27:30,07:27:30,30076,1,O'Hare,0,0
92281366027,07:30:30,07:30:30,30189,2,O'Hare,0,2879
92281366027,07:33:30,07:33:30,30034,3,O'Hare,0,7092
92281366027,07:37:00,07:37:00,30001,4,O'Hare,0,11152
92281366027,07:42:00,07:42:00,30187,5,O'Hare,0,19887
92281366027,07:45:30,07:45:30,30179,6,O'Hare,0,25381
92281366027,07:48:00,07:48:00,30048,7,O'Hare,0,30742
92281366027,07:52:30,07:52:30,30042,8,O'Hare,0,35551
92281366027,07:56:00,07:56:00,30157,9,O'Hare,0,39496
92281366027,07:59:00,07:59:00,30092,10,O'Hare,0,43444
92281366027,08:01:00,08:01:00,30068,11,O'Hare,0,46124
92281366027,08:02:30,08:02:30,30084,12,O'Hare,0,48482
92281366027,08:04:00,08:04:00,30261,13,O'Hare,0,51004
92281366027,08:05:30,08:05:30,30014,14,O'Hare,0,52574
92281366027,08:06:30,08:06:30,30153,15,O'Hare,0,53492
92281366027,08:07:30,08:07:30,30072,16,O'Hare,0,54390
